scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days
top1_baseline_hold_from_2012,stock,165,2012-04-30,2025-12-31,0.2061912519094815,0.25608658697668824,0.8025064174703482,0.15182610394726406,1.3539653769837692,-0.43797157550761157,2012-09-19,2013-04-19,2014-08-29,709
top1_baseline_hold_from_2012,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
top1_baseline_hold_from_2012,combined,165,2012-04-30,2025-12-31,0.18496490905482443,0.19208110907223994,0.9022535715799235,0.1114194546101171,1.5558245854087471,-0.3213288130568015,2020-02-12,2020-03-23,2020-06-09,118
top1_trailing_stop_25_from_2012,stock,165,2012-04-30,2025-12-31,0.13028612615237534,0.19379714390867595,0.651176771905506,0.12549895293055974,1.0051312992572146,-0.4112460938311815,2012-09-19,2013-04-18,2014-11-13,785
top1_trailing_stop_25_from_2012,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
top1_trailing_stop_25_from_2012,combined,165,2012-04-30,2025-12-31,0.13841835619218434,0.1557826188226026,0.8136181998596372,0.0970440621065327,1.3053732465590995,-0.33531194302307343,2020-02-19,2020-03-23,2020-08-05,168
top1_buy_the_dip_25_50_from_2012,stock,165,2012-04-30,2025-12-31,0.21070113876898589,0.2576386727430562,0.8137773846512922,0.15201192580349504,1.3797161081972455,-0.43797157550761134,2012-09-19,2013-04-19,2014-08-19,699
top1_buy_the_dip_25_50_from_2012,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
top1_buy_the_dip_25_50_from_2012,combined,165,2012-04-30,2025-12-31,0.19819121215547364,0.20429885043081425,0.9146971729304413,0.11701363257684289,1.5976937417161305,-0.31919641954913813,2020-02-12,2020-03-23,2020-06-08,117
top10_ew_baseline_hold_from_2012,stock,165,2012-04-30,2025-12-31,0.15989619551020295,0.14542480409744293,0.9921890078700162,0.08779607025142076,1.6403195696884985,-0.2949382182309097,2020-02-19,2020-03-23,2020-07-06,138
top10_ew_baseline_hold_from_2012,index,165,2012-04-30,2025-12-31,0.14272552447579412,0.13983954440935323,0.9171923763631344,0.0881369723629592,1.4543266238125916,-0.3379046365337395,2020-02-19,2020-03-23,2020-08-10,173
top10_ew_baseline_hold_from_2012,combined,165,2012-04-30,2025-12-31,0.15218988867400363,0.14039369001146934,0.9741477373394234,0.08656608422858271,1.5777131490691745,-0.31592457139272623,2020-02-19,2020-03-23,2020-07-20,152
